Time,Vews,ER,ADV,Size,IQ,Relevant,Summ,Subscribe
12:00:00,3 215,"20,00",1,8,8,8,24,48
19:00:00,671,"14,50",1,8,10,9,27,38
18:00:00,9 308,"17,50",1,3,5,5,13,47
14:00:00,7 642,"9,80",1,4,8,7,19,104
15:00:00,294,"30,30",1,7,10,10,27,30
18:47:00,360,"45,00",1,6,6,7,19,12
15:00:00,387,"14,50",1,8,10,7,25,10
15:05:00,998,"29,30",2,10,10,8,28,49
18:05:00,1 090,"29,60",1,8,10,8,26,49
10:05:00,1 026,"35,00",1,10,10,8,28,73
15:05:00,714,"18,90",1,8,10,5,23,25
10:05:00,565,"38,30",1,6,9,6,21,7
10:05:00,439,"14,20",1,8,6,7,21,6
17:57:00,430,"30,30",1,5,9,7,21,1
18:00:00,327,"28,10",1,7,8,8,23,17
18:00:00,8 926,"29,00",2,1,8,1,10,26
19:11:00,1 451,"8,00",1,10,9,1,20,10
14:00:00,1 522,"16,80",1,4,8,4,16,31
15:00:00,3 449,"29,90",1,7,8,7,22,58
14:15:00,904,"10,20",1,6,5,4,15,9
12:00:00,1 479,"11,40",1,5,8,5,18,31
20:00:00,317,"19,60",2,8,9,5,22,5
15:30:00,81,"10,70",3,7,10,6,23,6
22:00:00,378,"40,80",3,6,8,6,20,10
14:15:00,293,"53,00",3,8,7,4,19,4
20:00:00,427,"24,70",3,1,5,4,10,3
18:00:00,275,"6,40",3,10,10,3,23,10
14:00:00,331,"45,00",1,6,10,4,20,13
19:30:00,129,"11,80",5,2,8,3,13,1
20:00:00,1 302,"15,90",5,8,8,8,24,7
14:35:00,170,"16,60",6,1,6,2,9,0
20:00:00,790,"37,40",5,2,5,2,9,0
9:00:00,112,"28,40",5,4,6,10,20,5
15:00:00,2 790,"15,00",6,1,5,4,10,17
9:00:00,107,"34,20",5,2,5,2,9,0
15:00:00,1 302,"16,00",5,2,5,1,8,0
15:00:00,1 140,"27,50",5,2,5,1,8,0
10:03:00,360,"31,90",5,8,10,6,24,11